Record_ID,Tortoise_ID,Tortoise_No,Sample_Date,ELISA_Date,Mag_A405,Mag_Titer,Mag_Result,Mtest_A405,Mtest_Titer,Mtest_Result,Comments,Mag_UseResult,Mtest_UseResult,DataProofed
1,BS153,153,5/19/2011,6/10/2011,0.076,<32,Negative,0.036,<32,Negative,,1,1,0
2,BS156,156,5/19/2011,6/10/2011,0.019,<32,Negative,0.02,<32,Negative,,1,1,0
3,BS160,160,5/19/2011,6/2/2011,0.087,32,Suspect,0.058,<32,Negative,,1,1,0
4,BS17,17,5/20/2011,6/10/2011,0.025,<32,Negative,0.011,<32,Negative,,1,1,0
5,BS34,34,5/20/2011,6/10/2011,0.012,<32,Negative,0.028,<32,Negative,,1,1,0
6,BS157,157,5/20/2011,6/10/2011,0.072,<32,Negative,0.059,<32,Negative,,1,1,0
7,BS501,501,5/20/2011,6/8/2011,0.092,32,Suspect,0.034,<32,Negative,,1,1,0
8,BS502,502,5/20/2011,6/10/2011,0.043,<32,Negative,0.025,<32,Negative,,1,1,0
9,BS503,503,5/20/2011,6/10/2011,0.035,<32,Negative,0.014,<32,Negative,,1,1,0
11,BS508,508,5/20/2011,6/10/2011,0.039,<32,Negative,0.016,<32,Negative,,1,1,0
12,BS511,511,5/20/2011,6/10/2011,0.041,<32,Negative,0.026,<32,Negative,,1,1,0
13,BS513,513,5/20/2011,6/10/2011,0.081,<32,Negative,0.045,<32,Negative,,1,1,0
14,BS514,514,5/20/2011,6/10/2011,0.001,<32,Negative,0.005,<32,Negative,,1,1,0
15,BS515,515,5/20/2011,6/10/2011,0.03,<32,Negative,0.023,<32,Negative,,1,1,0
16,BS518,518,5/20/2011,6/10/2011,0.008,<32,Negative,0.031,<32,Negative,,1,1,0
17,BS519,519,5/20/2011,6/10/2011,0.06,<32,Negative,0.04,<32,Negative,,1,1,0
18,BS521,521,5/20/2011,6/10/2011,0.039,<32,Negative,0.022,<32,Negative,,1,1,0
19,BS522,522,5/20/2011,6/10/2011,0.025,<32,Negative,0.019,<32,Negative,,1,1,0
20,BS523,523,5/20/2011,6/10/2011,0.044,<32,Negative,0.025,<32,Negative,,1,1,0
21,BS524,524,5/20/2011,6/10/2011,0.028,<32,Negative,0.021,<32,Negative,,1,1,0
22,BS527,527,5/20/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
23,BS529,529,5/20/2011,6/10/2011,0.072,<32,Negative,0.038,<32,Negative,,1,1,0
24,BS531,531,5/20/2011,6/10/2011,0.055,<32,Negative,0.02,<32,Negative,,1,1,0
25,BS532,532,5/20/2011,6/10/2011,0.02,<32,Negative,0.017,<32,Negative,,1,1,0
26,BS535,535,5/20/2011,6/10/2011,0.014,<32,Negative,0.011,<32,Negative,,1,1,0
27,BS537,537,5/20/2011,6/10/2011,0.021,<32,Negative,0.014,<32,Negative,,1,1,0
28,BS538,538,5/20/2011,6/10/2011,0.08,<32,Negative,0.055,<32,Negative,,1,1,0
29,BS47,47,5/21/2011,6/10/2011,0.024,<32,Negative,0.015,<32,Negative,,1,1,0
30,BS55,55,5/21/2011,6/10/2011,0.107,32,Suspect,0.008,<32,Negative,,1,1,0
31,BS58,58,5/21/2011,6/10/2011,0.058,<32,Negative,0.019,<32,Negative,,1,1,0
32,BS61,61,5/21/2011,6/10/2011,0.052,<32,Negative,0.014,<32,Negative,,1,1,0
33,BS71,71,5/21/2011,6/10/2011,0.035,<32,Negative,0.028,<32,Negative,,1,1,0
34,BS77,77,5/21/2011,6/10/2011,0.047,<32,Negative,0.02,<32,Negative,,1,1,0
35,BS01,1,10/19/2010,,,<32,Negative,,<32,Negative,,1,1,0
36,BS12,12,10/19/2010,,,<32,Negative,,<32,Negative,,1,1,0
37,BS13,13,10/19/2010,,,<32,Negative,,<32,Negative,,1,1,0
38,BS14,14,10/19/2010,,,<32,Negative,,<32,Negative,,1,1,0
40,BS04,4,10/23/2010,,,<32,Negative,,<32,Negative,,1,1,0
41,BS22,22,10/23/2010,,,<32,Negative,,<32,Negative,,1,1,0
42,BS100,100,10/23/2010,,,<32,Negative,,<32,Negative,,1,1,0
43,BS17,17,10/24/2010,,,<32,Negative,,<32,Negative,,1,1,0
44,BS25,25,10/27/2010,,,<32,Negative,,<32,Negative,,1,1,0
45,BS102,102,10/27/2010,,,<32,Negative,,<32,Negative,,1,1,0
46,BS26,26,10/28/2010,,,<32,Negative,,<32,Negative,,1,1,0
47,BS27,27,10/28/2010,,,<32,Negative,,<32,Negative,,1,1,0
48,BS28,28,10/28/2010,,,<32,Negative,,<32,Negative,,1,1,0
49,BS29,29,10/28/2010,,,<32,Negative,,<32,Negative,,1,1,0
51,BS31,31,10/29/2010,,,32,Suspect,,64,Suspect,,1,1,0
52,BS32,32,10/29/2010,,,<32,Negative,,<32,Negative,,1,1,0
53,BS34,34,10/29/2010,,,<32,Negative,,<32,Negative,,1,1,0
54,BS35,35,10/29/2010,,,<32,Negative,,<32,Negative,,1,1,0
55,BS30,30,10/30/2010,,,<32,Negative,,<32,Negative,,1,1,0
56,BS33,33,10/30/2010,,,<32,Negative,,<32,Negative,,1,1,0
57,BS02,2,10/31/2010,,,32,Suspect,,32,Suspect,,1,1,0
58,BS09,9,10/31/2010,,,<32,Negative,,<32,Negative,,1,1,0
59,BS24,24,10/31/2010,,,<32,Negative,,32,Suspect,,1,1,0
60,BS37,37,10/31/2010,,,32,Suspect,,64,Suspect,,1,1,0
61,BS103,103,10/31/2010,,,<32,Negative,,<32,Negative,,1,1,0
62,BS21,21,11/1/2010,,,<32,Negative,,<32,Negative,,1,1,0
63,BS101,101,11/1/2010,,,<32,Negative,,<32,Negative,,1,1,0
64,BS36,36,11/2/2010,,,<32,Negative,,<32,Negative,,1,1,0
65,BS38,38,11/2/2010,,,<32,Negative,,64,Suspect,,1,1,0
66,BS41,41,11/2/2010,,,<32,Negative,,<32,Negative,,1,1,0
67,BS05,5,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
68,BS07,7,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
69,BS08,8,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
70,BS12,12,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
71,BS13,13,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
72,BS79,79,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
73,BS88,88,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
74,BS92,92,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
75,BS102,102,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
76,BS124,124,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
77,BS125,125,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
78,BS127,127,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
79,BS133,133,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
