TortoiseID,EncounterDate,Fieldworker1,Fieldworker2,Fieldworker3,SWC,NewGrowth,ForelegDirt,GeneticsSample,ToxicologySample,ToxDuplicateSample,ToxWholeBloodSample,ErodedNarisLeft,ErodedNarisLeftValue,ErodedNarisRight,ErodedNarisRightValue,OcclusionNarisLeft,OcclusionNarisLeftValue,OcclusionNarisRight,OcclusionNarisRightValue,EdemaEyeLeft,PalpebraeUpperEyeLeft,PalpebraeLowerEyeLeft,PeriocularUpperEyeLeft,PeriocularLowerEyeLeft,EdemaEyeRight,PalpebraeUpperEyeRight,PalpebraeLowerEyeRight,PeriocularUpperEyeRight,PeriocularLowerEyeRight,DischargeEyeLeft,DischargeEyeRight,BulgingEyeLeft,BulgingEyeRight,SunkenEyeLeft,SunkenEyeRight,GlobeEyeLeft,GlobeEyeRight,NaresEyesComments,TraumaHeadDistribution,TraumaHeadSeverity,TraumaHeadChronicity,TraumaGularDistribution,TraumaGularSeverity,TraumaGularChronicity,TraumaPlastronDistribution,TraumaPlastronSeverity,TraumaPlastronChronicity,TraumaCarapaceDistribution,TraumaCarapaceSeverity,TraumaCarapaceChronicity,TraumaLimbsDistribution,TraumaLimbsSeverity,TraumaLimbsChronicity,SkinDamage,SkinDamageDescribe,ScuteBoneReplacement,TraumaComments,LaminaePeeling,LaminaePeelingDescribe,Pitting,PittingDescribe,FungalAreas,FungalAreasDescribe,DiseaseHeadDistribution,DiseaseHeadSeverity,DiseaseHeadChronicity,DiseaseGularDistribution,DiseaseGularSeverity,DiseaseGularChronicity,DiseasePlastronDistribution,DiseasePlastronSeverity,DiseasePlastronChronicity,DiseaseCarapaceDistribution,DiseaseCarapaceSeverity,DiseaseCarapaceChronicity,DiseaseLimbsDistribution,DiseaseLimbsSeverity,DiseaseLimbsChronicity,DiseaseComments,DataMigrated,DataProofed,TortoiseType,TortoiseStatus
BS04,5/18/2014,Geo Keyes,Max Havelka,,6,Fine Line,No,N,N,N,,No,1,No,1,None,1,None,1,Yes,2,1,2,1,Yes,1,1,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,Y,Active scarring LM1 to RM1,Y,,Yes,"Mild peeling LM3, RM3, LM11",No,,No,,1,1,1,1,1,1,2,2,3,3,2,3,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS04,9/14/2014,Jacquelyn Smith,Imogen Daly,,6,None,No,N,N,N,N,No,1,No,1,None,1,None,1,Yes,2,2,1,1,Yes,2,1,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,Y,Healed,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS04,5/17/2015,Brian Cohn,Jeff Valentine,,5,>1 mm,No,,Y,N,N,No,1,No,1,None,1,None,1,Yes,2,2,1,2,Yes,1,2,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,Y,Healed LM2-RM2; fresh trauma base of neck and upper L forelimb,Y,,No,,Yes,Plastron (see diagram  below),No,,1,1,1,1,1,1,3,3,2,4,2,2,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS04,9/12/2015,Cynthia Furman,Jay Meyers,,6,None,No,,N,N,N,No,1,No,1,None,1,None,1,No,1,1,1,1,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,2,3,2,2,2,2,1,1,1,Y,Old subcarapacial scarring,Y,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Translocatee (2011 Short),Tracked
BS04,5/24/2016,Jeff Valentine,Amanda Scheib,,5,<1 mm,No,,,,,No,1,No,1,None,1,None,1,Yes,2,1,3,2,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,Y,Old healed scarring below RM1-LM1,Y,,No,,No,,No,,1,1,1,1,1,1,2,2,2,3,2,2,1,1,1,,1,0,Translocatee (2011 Short),Tracked
BS04,9/20/2016,Jay Meyers,Jacquelyn Smith,,5,Fine Line,No,,,,,No,1,No,1,None,1,None,1,Yes,1,1,2,2,Yes,1,1,2,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,Conjuctiva of right eye inflamed,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,Y,Subcarapacial damage- fresh. Fresh trauma to R prefemoral area,Y,"BSR on LM&RM7-8, LM10, chips on R&L11. Tooth indent and drag on LM7&9",No,,No,,No,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,General yellowish flaking on carapace,0,0,Translocatee (2011 Short),Tracked
BS05,5/15/2011,Craig Himmelwright,Leslie Backus,,,None,No,,,,,,,,,None,1,None,1,No,1,1,1,1,No,1,1,1,1,None,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,No,,Yes,"Plastron: Bone scute replacement; Carapace: Chipped, bone scute replacement; Limbs: Rt. forelimb 2 damaged scales.",No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,Translocatee (2012 Short),Tracked
BS05,9/2/2011,Shawn Lindey,Bryan Reiley,,,,No,,,,,,,,,None,1,None,1,No,1,1,1,1,No,1,1,1,1,Dry Crust; None,Dry Crust; None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,,Yes,"Plastron: tooth drag; Carapace: Tooth puncture, trauma, bone scute replacement; Limbs: Missing 2 scales on right forelimb",No,,No,,No,,,,,,,,,,,,,,,,,,0,0,Translocatee (2012 Short),Tracked
BS05,10/10/2011,Cynthia Furman,Liz Smith,,5,None,No,,,,,No,1,No,1,None,1,Partial,3,Yes,2,1,1,1,Yes,2,1,1,1,Dry Crust; None,Dry Crust; None,No,No,No,No,Clear & Bright,Clear & Bright,Nares Exudate: ; Nares Erosion: ; Eyes: R/L eye Lesions to Palp/Perioc- no description given for lesions,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,No,,Yes,Head: ; Gular: ; Plastron: Diagram indicates outer laminae damaged on R humeral.; Carapace: Diagram indicates divot on RC1; bone scute replacement RM5.; Limbs:,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Head: ; Gular: ; Plastron: ; Carapace: ; Limbs:,0,0,Translocatee (2012 Short),Tracked
BS05,5/16/2012,Kelly Herbinson,TG Jackson,,4,None,No,,,,,No,1,No,1,None,1,None,1,Yes,2,1,1,1,Yes,2,1,1,1,Dry Crust,None,No,No,No,No,Clear-Bright,Clear-Bright,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,N,,N,,No,,No,,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,Translocatee (2012 Short),Tracked
