UserName,TimeStamp,TortoiseID,EncounterDate,EncounterTime,Fieldworker1,Fieldworker2,CameraWithPhotos,Temperature,HandleStartTime,HandleEndTime,iButtonPurpose,DataDownload,iButtonID,iButtonType,SampleRateTaken,SampleCountTaken,NewiButtonID,NewiButtonType,NewiButtonLocation,InitialWeight,FinalWeight,NewMission,SampleRate,MaxSampleCount,MissionStartDate,MissionStartTime,MissionEndDate,TortoiseVoided,VoidUrineVol,VoidUrineColor,VoidFecesPieces,TortoiseHydrated,HydrateMethod,HydrateFluidVol,Comments,DataMigrated,DataProofed
BS8,9/10/2007,BS315,9/8/2012,1/0/1900,Kelly Herbinson,,,,1/0/1900,1/0/1900,Download Data;Remove iButton,Y,,,15,5397,,,,,,,,,,,,,,,,,,,"Mortality. IButton removed, downloaded, stopped.",1,0
BS1,4/2/2012,BS576,3/31/2012,1/0/1900,Jay Meyers,,Jay Meyers,30.1,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,610000001fe61f41,1922L,LC2,2650,2650,Y,12,8192,3/30/2012,,6/7/2012,N,,,,N,,,,1,0
BS1,4/2/2012,BS619,3/31/2012,1/0/1900,Jay Meyers,,Jay Meyers,30.3,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,D80000001e0e6241,1922L,LC1,1850,1850,Y,12,8192,3/30/2012,,6/7/2012,N,,,,N,,,,1,0
BS1,4/2/2012,BS556,3/31/2012,1/0/1900,Jay Meyers,,Jay Meyers,31,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,F80000001fe4d841,1922L,LC1,840,840,Y,12,8192,3/30/2012,,6/7/2012,N,,,,N,,,,1,0
BS1,4/2/2012,BS559,3/31/2012,1/0/1900,Jay Meyers,,Jay Meyers,31,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,6e0000001e105541,1922L,LC1,2450,2450,Y,12,8192,3/30/2012,,6/7/2012,N,,,,N,,,,1,0
BS16,4/2/2012,BS101,3/29/2012,1/0/1900,Jacquelyn Smith,,Jacquelyn Smith,27.7,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,5d0000001ef70c41,1922L,LC1,4600,4600,Y,12,8192,3/29/2012,,6/5/2012,N,,,,N,,,,1,0
BS1,4/2/2012,BS550,3/31/2012,1/0/1900,Jay Meyers,,Jay Meyers,31,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,Cb0000001fe3b041,1922L,LC1,3650,3650,Y,12,8192,3/30/2012,,6/7/2012,N,,,,N,,,,1,0
BS16,4/2/2012,BS334,3/29/2012,1/0/1900,Jacquelyn Smith,,Jacquelyn Smith,26,1/0/1900,,Initially Attach iButton,,,,,,4b0000001fe20d41,1922L,LC1,2490,2490,Y,12,8192,3/29/2012,,6/5/2012,N,,,,N,,,,1,0
BS1,4/2/2012,BS540,3/31/2012,1/0/1900,Jay Meyers,,Jay Meyers,31.4,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,D20000001fddfd41,1922L,LC2,1380,1385,Y,12,8192,3/30/2012,,6/7/2012,N,,,,N,,,,1,0
BS1,4/2/2012,BS543,3/31/2012,1/0/1900,Jay Meyers,,Jay Meyers,30.7,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,1f0000001ef74d41,1922L,LC1,2850,2850,Y,12,8192,3/30/2012,,6/7/2012,N,,,,N,,,,1,0
BS16,4/2/2012,BS13,3/29/2012,1/0/1900,Laura Pavliscak,,Laura Pavliscak,25.4,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,350000001fdd9241,1922L,LC1,2550,2550,Y,12,8192,3/29/2012,,6/5/2012,N,,,,N,,,RC3 antenna housing missing- replaced today using cream gel epoxy (see photo).,1,0
BS1,4/2/2012,BS564,3/31/2012,1/0/1900,Jay Meyers,,Jay Meyers,31.1,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,Cc0000001e0edc41,1922L,LC1,3000,3000,Y,12,8192,3/30/2012,,6/7/2012,N,,,,N,,,,1,0
BS16,4/2/2012,BS139,3/29/2012,1/0/1900,Laura Pavliscak,,Laura Pavliscak,29.8,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,6f0000001e2bb141,1922L,LC1,3250,3250,Y,12,8192,3/29/2012,,6/5/2012,N,,,,N,,,,1,0
BS1,4/2/2012,BS582,3/31/2012,1/0/1900,Chandra Llewellyn,,Chandra Llewellyn,31,1/0/1900,1/0/1900,Initially Attach iButton,,,,,,5f0000001fea7b41,1922L,LC1,2250,2250,Y,12,8192,3/30/2012,,6/7/2012,N,,,,N,,,,1,0
