DATE,PLOT,SPECIES,"FQ,20,5","FQ,20,15","FQ,20,25","FQ,20,35","FQ,20,45","FQ,20,55","FQ,20,65","FQ,20,75","FQ,20,85","FQ,20,95","FQ,20,AVG","FQ,50,5","FQ,50,15","FQ,50,25","FQ,50,35","FQ,50,45","FQ,50,55","FQ,50,65","FQ,50,75","FQ,50,85","FQ,50,95","FQ,50,AVG","CV,5","CV,15","CV,25","CV,35","CV,45","CV,55","CV,65","CV,75","CV,85","CV,95","CV,AVG"
9/27/2015,6,Bare Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,30,32,32,39,22,37,33,38,41,0.361
9/27/2015,6,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,27,29,28,33,28,29,16,24,0.257
9/27/2015,6,Litter Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,8,0,9,2,6,1,4,0.051
9/27/2015,6,Litter Standing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,8,1,0,1,2,0,2,0.024
9/27/2015,6,Cryptogamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
9/27/2015,6,ACASPH,0,0,0,0,0,0,0,0,1,0,0.004,0,0,0,0,0,0,0,0,1,0,0.004,0,0,0,0,0,0,0,0,1,0,0.001
9/27/2015,6,AMBDUM,2,1,0,0,0,1,1,2,1,1,0.036,5,5,1,1,8,6,8,6,5,3,0.192,9,11,11,3,16,11,5,11,12,9,0.098
9/27/2015,6,DASPUL,0,0,0,0,1,0,0,0,0,0,0.004,1,0,0,0,2,2,1,2,1,0,0.036,0,0,0,0,0,1,1,0,0,0,0.002
9/27/2015,6,EPHNEV,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,1,0,0.004,0,0,0,0,0,0,1,0,1,0,0.002
9/27/2015,6,ERIINF,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,1,0.004,0,0,0,0,0,0,0,0,0,0,0.000
9/27/2015,6,HYMSAL,0,0,1,0,0,0,1,0,1,0,0.012,0,3,2,0,1,0,1,0,1,1,0.036,2,14,4,0,7,2,1,0,4,4,0.038
9/27/2015,6,KRAERE,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0,2,0,0,0,1,0,0,1,0,0.004
