DATE,PLOT,SPECIES,"FQ,20,5","FQ,20,15","FQ,20,25","FQ,20,35","FQ,20,45","FQ,20,55","FQ,20,65","FQ,20,75","FQ,20,85","FQ,20,95","FQ,20,AVG","FQ,50,5","FQ,50,15","FQ,50,25","FQ,50,35","FQ,50,45","FQ,50,55","FQ,50,65","FQ,50,75","FQ,50,85","FQ,50,95","FQ,50,AVG","CV,5","CV,15","CV,25","CV,35","CV,45","CV,55","CV,65","CV,75","CV,85","CV,95","CV,AVG"
4/10/2015,1,Bare Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,76,68,73,48,70,70,71,72,75,0.672
4/10/2015,1,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,8,0,1,0,1,2,0.018
4/10/2015,1,Litter Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,5,7,2,8,7,1,0.046
4/10/2015,1,Litter Standing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,13,1,4,6,6,5,3,1,0.066
4/10/2015,1,Cryptogamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,AMBDUM,0,0,0,0,0,1,0,0,0,2,0.012,0,0,1,2,3,4,3,1,3,4,0.084,0,0,2,2,4,4,3,3,5,5,0.028
4/10/2015,1,ATRPOL,4,0,0,1,4,0,3,1,0,0,0.052,7,3,6,3,9,3,8,5,5,3,0.208,21,9,10,11,22,5,11,10,11,10,0.120
4/10/2015,1,ERITRI,0,0,1,0,0,0,0,0,0,0,0.004,0,0,1,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,GLYMAR,0,0,0,0,0,0,0,0,0,0,0.000,0,0,1,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,LARTRI,0,0,0,0,0,1,0,0,0,0,0.004,0,1,0,0,0,1,0,0,0,0,0.008,0,0,0,0,2,7,0,0,0,0,0.009
4/10/2015,1,PECPEN,0,0,1,0,0,0,0,0,0,0,0.004,0,0,3,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,PLERIG,0,1,0,0,3,0,0,1,0,0,0.020,0,1,0,1,3,4,2,3,0,1,0.060,4,1,3,8,10,0,7,3,0,4,0.040
4/10/2015,1,SCHBAR,0,0,0,0,0,0,1,0,1,0,0.008,2,1,1,1,2,1,2,0,2,0,0.048,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
4/10/2015,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
