DATE,PLOT,SPECIES,"FQ,20,5","FQ,20,15","FQ,20,25","FQ,20,35","FQ,20,45","FQ,20,55","FQ,20,65","FQ,20,75","FQ,20,85","FQ,20,95","FQ,20,AVG","FQ,50,5","FQ,50,15","FQ,50,25","FQ,50,35","FQ,50,45","FQ,50,55","FQ,50,65","FQ,50,75","FQ,50,85","FQ,50,95","FQ,50,AVG","CV,5","CV,15","CV,25","CV,35","CV,45","CV,55","CV,65","CV,75","CV,85","CV,95","CV,AVG"
40/5/2014,12,Bare Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,55,29,37,57,49,0,52,42,0.435
40/5/2014,12,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,14,12,16,13,21,0,14,18,0.135
40/5/2014,12,Litter Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0.007
40/5/2014,12,Litter Standing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,1,0,2,0,0.010
40/5/2014,12,Cryptogamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0.005
40/5/2014,12,PECPAP,15,13,23,22,24,24,23,0,16,0,0.640,24,21,24,23,27,25,23,0,23,0,0.760,7,4,5,12,16,6,14,0,6,16,0.086
40/5/2014,12,ALLINC,0,0,2,0,2,2,2,0,1,1,0.040,5,3,4,1,3,3,7,0,10,4,0.160,2,1,0,3,0,1,0,0,1,1,0.009
40/5/2014,12,LARTRI,1,0,0,0,1,0,0,0,1,0,0.012,1,0,0,1,4,2,0,0,1,1,0.040,9,7,11,21,25,10,5,0,14,7,0.109
40/5/2014,12,BOETRI,0,0,1,0,0,0,0,0,0,0,0.004,0,0,1,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.000
40/5/2014,12,AMBDUM,0,0,3,0,0,1,2,0,0,1,0.028,3,5,4,5,5,3,7,0,4,7,0.172,8,10,7,7,6,8,5,0,8,7,0.066
40/5/2014,12,KRAERE,0,0,0,0,0,0,0,0,0,0,0.000,1,2,0,0,1,1,2,0,0,2,0.036,2,3,2,3,4,3,3,0,2,5,0.027
40/5/2014,12,BOUBAR,0,0,0,0,0,0,2,0,1,1,0.016,5,3,2,1,4,2,7,0,5,6,0.140,0,1,0,0,0,0,0,0,0,2,0.003
40/5/2014,12,AMAFIM,0,0,0,0,0,0,0,0,1,0,0.004,0,0,0,0,1,0,0,0,1,0,0.008,0,0,0,1,0,0,0,0,0,0,0.001
