Plant name,GENUS,FORM,ANN_PERENN,NATIVE,USE,2013_Spring,2013_Fall,2014_Spring,2014_Fall,Mean
Bare Ground,Non-plant,Nonliving,Nonliving,Nonliving,Non-plant,46.95,40.19,45.61,40.15,43.23
Rock,Non-plant,Nonliving,Nonliving,Nonliving,Non-plant,20.51,16.44,18.56,17.22,18.18
Atriplex polycarpa,Atriplex,Shrub,Perennial,Native,?,14.4,14.3,15.7,15.1,14.88
Larrea tridentata,Larrea,Shrub,Perennial,Native,?,10,11.19,9.46,12.05,10.67
Ambrosia dumosa,Ambrosia,Shrub,Perennial,Native,?,6.75,6.69,7.67,7.9,7.25
Litter Ground,Non-plant,Nonliving,Nonliving,Nonliving,Non-plant,3.87,1.04,9.05,3.93,4.47
Bouteloua aristidoides,Bouteloua,Grass,Annual,Native,?,0,10.62,0,6.77,4.35
Litter Standing,Non-plant,Nonliving,Nonliving,Nonliving,Non-plant,4.19,1.09,1.05,1.37,1.93
Pleuraphis rigida,Pleuraphis,Grass,Perennial,Native,?,1.25,1.79,1.29,2.29,1.65
Bouteloua barbata,Bouteloua,Grass,Perennial,Native,?,0,4.7,0,1.76,1.61
Ambrosia salsosa,Ambrosia,Shrub,Perennial,Native,?,0,1.9,1.94,2.05,1.47
Eriogonum fasciculatum ,Eriogonum,Shrub,Perennial,Native,?,1.26,1.55,1.4,1.48,1.42
Krameria erecta,Krameria,Shrub,Perennial,Native,?,1.44,1.11,1.36,1.41,1.33
Yucca schidigera,Yucca,Shrub,Perennial,Native,?,1.32,1.24,1.19,1.51,1.31
Hymenoclea salsola ,Hymenoclea,Shrub,Perennial,Native,?,1.54,0,1.54,2.1,1.3
Ephedra nevadensis,Ephedra,Shrub,Perennial,Native,?,1.37,1.19,0.81,0.97,1.09
Chorizanthe coriacea,Chorizanthe,Forb,Annual,Native,Same genus,0,0,3.7,0,0.93
Ericameria cooperi,Ericameria,Shrub,Perennial,Native,?,0.6,1,1.2,0.8,0.9
Thamnosma montana,Thamnosma,Shrub,Perennial,Native,?,0.6,0.4,0.6,1.1,0.68
Coleogyne ramosissima,Coleogyne,Shrub,Perennial,Native,?,1.66,0.3,0.27,0.43,0.67
Cylindropuntia acanthocarpa,Cylindropuntia,Cactus,Perennial,Native,?,0.49,0.38,1.4,0.27,0.63
Tiquilia plicata,Tiquilia,Forb,Perennial,Native,No evidence,0.8,1,0.2,0.2,0.55
Porophyllum gracile,Porophyllum,Forb,Perennial,Native,No evidence,0.23,0.72,0.26,0.72,0.48
Acacia greggii,Acacia,Shrub,Perennial,Native,?,0.5,0.43,0.33,0.49,0.44
Pectis papposa,Pectis,Forb,Perennial,Native,?,0,1.05,0,0.61,0.42
Cryptogamic,Non-plant,Nonliving,Nonliving,Nonliving,Non-plant,0.58,0.4,0.34,0.33,0.41
Cylindropuntia ramosissima,Cylindropuntia,Cactus,Perennial,Native,?,0.35,0.49,0.36,0.41,0.4
Boerhavia wrightii,Boerhavia,Forb,Annual,Native,?,0,0.6,0,0.87,0.37
Eriogonum inflatum ,Eriogonum,Shrub,Perennial,Native,?,0.06,1.2,0.13,0.05,0.36
Muhlenbergia porteri,Muhlenbergia,Grass,Perennial,Native,?,0.2,0.73,0.1,0.3,0.33
Menodora spinescens,Menodora,Shrub,Perennial,Native,?,0.48,0.24,0.24,0.33,0.32
Salvia dorrii,Salvia,Forb,Perennial,Native,No evidence,0.25,0.43,0.25,0.3,0.31
Schismus barbatus,Schismus,Grass,Annual,Alien,?,0.85,0,0.36,0,0.3
Astragalus nuttallianus,Astragalus,Forb,Annual,Native,Same genus,0,1.2,0,0,0.3
Ephedra funerea,Ephedra,Shrub,Perennial,Native,?,0,0,0,1.2,0.3
Lycium andersonii,Lycium,Shrub,Perennial,Native,?,0.26,0.28,0.41,0.22,0.29
Sporobolus cryptandrus,Sporobolus,Grass,Perennial,Native,?,0.1,0.8,0.2,0,0.28
Encelia virginensis,Encelia,Shrub,Perennial,Native,?,0.13,0.73,0.02,0.2,0.27
Dasyochloa pulchellum,Dasyochloa,Grass,Perennial,Native,?,0.12,0.23,0.19,0.38,0.23
Eriogonum trichopes,Eriogonum,Shrub,Perennial,Native,?,0.1,0,0.77,0,0.22
Aristida adscensionis,Aristida,Grass,Annual or Short-lived perennial,Native,?,0,0.53,0,0.33,0.22
Allionia incarnata,Allionia,Forb,Perennial,Native,Preferred or major food plant,0,0.53,0,0.33,0.21
Sporobolus flexuosus,Sporobolus,Grass,Perennial,Native,?,0,0.55,0.15,0.1,0.2
Salazaria mexicana,Salazaria,Shrub,Perennial,Native,?,0.17,0.29,0.09,0.24,0.2
Lycium cooperi,Lycium,Shrub,Perennial,Native,?,0.15,0.1,0.43,0,0.17
Chamaesyce albomarginata,Chamaesyce,Forb,Perennial,Native,Preferred or major food plant,0.03,0.28,0.06,0.27,0.16
Amaranthus fimbriatus,Amaranthus,Forb,Annual,Native,?,0,0.54,0,0.07,0.15
Boerhavia coulteri,Boerhavia,Forb,Annual,Native,?,0,0.54,0,0,0.13
Bromus rubens,Bromus,Grass,Annual,Alien,?,0.41,0,0.11,0,0.13
Petalonyx thurberi,Petalonyx,Forb,Perennial,Native,?,0.2,0.2,0.1,0,0.13
Cylindropuntia echinocarpa,Cylindropuntia,Cactus,Perennial,Native,?,0.07,0.12,0.14,0.13,0.11
Grusonia parishii,Grusonia,Cactus,Perennial,Native,?,0.1,0.3,0,0,0.1
Malacothrix californica,Malacothrix,Forb,Annual,Native,Same genus,0.4,0,0,0,0.1
Acamptopappus sphaerocephalus,Acamptopappus,Shrub,Perennial,Native,?,0.07,0,0.2,0.1,0.09
Ferocactus cylindraceus,Ferocactus,Cactus,Perennial,Native,?,0.1,0.1,0.1,0.05,0.09
Mollugo cervenia,Mollugo,Forb,Annual,Alien,?,0,0.27,0,0.08,0.09
Kallstroemia parviflora,Kallstroemia,Forb,Annual,Native,?,0,0.29,0,0.05,0.09
Sphaeralcea ambigus,Sphaeralcea,Forb,Perennial,Native,?,0.03,0.13,0.1,0.06,0.08
Kallstroemia californica,Kallstroemia,Forb,Annual,Native,?,0,0.14,0,0.18,0.08
Atriplex canescens,Atriplex,Shrub,Perennial,Native,?,0.1,0.1,0,0.1,0.08
Achnatherum hymenoides,Achnatherum,Grass,Perennial,Native,?,0.3,0,0,0,0.08
Ephedra sp.,Ephedra,Shrub,Perennial,Native,?,0,0,0,0.3,0.08
Lepidium fremontii,Lepidium,Forb,Annual,Native,Same genus,0.1,0,0.05,0.15,0.08
Psilostrophe cooperi,Psilostrophe,Shrub,Perennial,Native,?,0.15,0,0.05,0.1,0.08
Opuntia basilaris,Opuntia,Cactus,Perennial,Native,?,0.08,0.08,0.09,0.05,0.07
Erodium cicutarium,Erodium,Forb,Annual,Alien,Preferred or major food plant,0.02,0.22,0.02,0.02,0.07
Boerhavia sp.,Boerhavia,Forb,Annual,Native,?,0,0.27,0,0,0.07
Cryptantha micrantha,Cryptantha,Forb,Annual,Native,Preferred or major food plant,0.16,0,0.08,0,0.06
Stephanomeria pauciflora,Stephanomeria,Forb,Annual,Native,?,0,0.1,0.03,0.1,0.06
Adenophyllum cooperi,Adenophyllum,Forb,Perennial,Native,No evidence,0.04,0.06,0.04,0.07,0.05
Camissonia boothii,Camissonia,Forb,Annual,Native,Same genus,0,0,0.2,0,0.05
Echinocactus polycephalus,Echinocactus,Cactus,Perennial,Native,?,0,0.1,0.1,0,0.05
Oenothera primiveris,Oenothera,Forb,Annual,Native,Same genus,0.2,0,0,0,0.05
Chorizanthe rigida,Chorizanthe,Forb,Annual,Native,Preferred or major food plant,0.03,0,0.01,0.15,0.05
Baileya multiradiata,Baileya,Forb,Perennial,Native,No evidence,0.05,0.1,0,0,0.04
Cryptantha circumscissa,Cryptantha,Forb,Annual,Native,Preferred or major food plant,0.07,0,0.08,0,0.04
Viguiera parishii,Viguiera,Shrub,Perennial,Native,?,0,0,0.15,0,0.04
Dalea mollissima,Dalea,Forb,Perennial,Native,No evidence,0.01,0.1,0.02,0.01,0.04
Nemacladus sp.,Nemacladus,Forb,Annual,Native,?,0,0,0.13,0,0.03
Adenophyllum porophylloides,Adenophyllum,Forb,Perennial,Native,?,0,0,0.1,0,0.03
Amsinckia sp.,Amsinckia,Forb,Annual,Native,Same genus,0,0,0,0.1,0.03
Bebbia juncea,Bebbia,Shrub,Perennial,Native,?,0,0,0,0.1,0.03
Coryphantha vivipara,Coryphantha,Cactus,Perennial,Native,Same genus,0,0.1,0,0,0.03
Ephedra viridis,Ephedra,Shrub,Perennial,Native,?,0,0,0.1,0,0.03
Kallstroemia sp.,Kallstroemia,Forb,Annual,Native,?,0,0,0,0.1,0.03
Senecio flaccidus,Senecio,Shrub,Perennial,Native,?,0,0,0.1,0,0.03
Tridens muticus,Tridens,Grass,Perennial,Native,?,0,0,0,0.1,0.03
Chamaesyce micromera,Chamaesyce,Forb,Annual,Native,Same genus,0,0.06,0,0.04,0.02
Phacelia fremontii,Phacelia,Forb,Annual,Native,Same genus,0.08,0,0.01,0,0.02
Camissonia sp.,Camissonia,Forb,Annual,Native,Same genus,0,0,0.09,0,0.02
Mentzelia albicaulis,Mentzelia,Forb,Annual,Native,Same genus,0.03,0,0.06,0,0.02
Caulanthus lasiocarpa,Caulanthus,Forb,Annual,Native,Same genus,0.08,0,0,0,0.02
Chaenactis stevioides,Chaenactis,Forb,Annual,Native,No evidence,0,0.07,0,0.01,0.02
Portulaca sp.,Portulaca,Forb,Annual,Alien,?,0,0,0,0.07,0.02
Lepidium lasiocarpa,Lepidium,Forb,Annual,Native,Preferred or major food plant,0,0,0.06,0,0.02
Antheropeas wallacei,Antheropeas,Forb,Annual,Native,No evidence,0.02,0,0.04,0,0.01
Cryptantha angustifolia,Cryptantha,Forb,Annual,Native,Preferred or major food plant,0.03,0,0.02,0,0.01
Pectocarya platycarpa,Pectocarya,Forb,Annual,Native,Same genus,0.04,0,0.02,0,0.01
Enneapogon desvauxii,Enneapogon,Grass,Perennial,Native,?,0,0.05,0,0,0.01
