"","year","season","avgweeklyRain","avgTotalRain"
"1","2012","Summer",0.298660714285714,1.94833333333333
"2","2013","Summer",0.416458754208754,4.49055555555556
"3","2014","Summer",0.458816399286988,4.77529411764706
"4","2015","Summer",0.129160130718954,1.12294117647059
"5","2016","Summer",0.2463,1.24733333333333
"6","2012 - 2013","Winter/Spring",0.0854850874657638,2.10277777777778
"7","2013 - 2014","Winter/Spring",0.318458994708995,2.31555555555556
"8","2014 - 2015","Winter/Spring",0.234612975260034,2.75529411764706
"9","2015 - 2016","Winter/Spring",0.255167919882885,3.87529411764706
"10","2016 - 2017","Winter/Spring",0.4175,0.43375
