,,Temp,Hi,Low,Out,Dew,Wind,Wind,Wind,Hi,Hi,Wind,Heat,THW,THSW,,,Rain,Solar,Solar,Hi Solar,UV ,UV ,Hi ,Heat,Cool,In ,In,In ,In ,In ,In Air,,Wind,Wind,ISS ,Arc.
Date,Time,Out,Temp,Temp,Hum,Pt.,Speed,Dir,Run,Speed,Dir,Chill,Index,Index,Index,Bar  ,Rain,Rate,Rad.,Energy,Rad. ,Index,Dose,UV ,D-D ,D-D ,Temp,Hum,Dew,Heat,EMC,Density,ET ,Samp,Tx ,Recept,Int.
6/11/2013,7:00 PM,34,35.4,34,10,-1.9,9.7,SW,9.66,20.9,SW,34,31.3,31.3,---,752.9,0,0,95,8.17,149,0.3,0.13,0.8,0,0.653,33.6,11,-0.9,31.1,2.55,1.134,0.01,1338,3,100,60
6/11/2013,8:00 PM,32.2,34,32.2,12,-0.8,8,SSW,8.05,17.7,SW,32.2,29.9,29.9,---,753,0,0,24,2.06,54,0,0,0,0,0.579,31.1,11,-2.8,28.8,2.51,1.1443,0.006,1339,3,100,60
6/11/2013,9:00 PM,30.3,32.2,30.3,13,-1.2,4.8,SSW,4.83,11.3,S,30.3,28.4,28.4,---,753.2,0,0,0,0,0,0,0,0,0,0.5,28.4,12,-3.8,26.3,2.86,1.1554,0.004,1340,3,100,60
6/11/2013,10:00 PM,28.7,30.3,28.5,15,-0.5,6.4,SW,6.44,11.3,SW,28.7,26.9,26.9,---,753.7,0,0,0,0,0,0,0,0,0,0.433,26.5,12,-5.2,24.4,3.04,1.164,0.006,1337,3,100,60
6/11/2013,11:00 PM,29,29,28.6,15,-0.3,8,SW,8.05,16.1,WSW,29,27.2,27.2,---,753.7,0,0,0,0,0,0,0,0,0,0.444,26.2,12,-5.5,24.2,3.03,1.1652,0.007,1340,3,100,60
6/12/2013,12:00 AM,30.1,30.1,29,12,-2.5,12.9,WSW,12.87,24.1,W,29.9,28.1,28,---,753.7,0,0,0,0,0,0,0,0,0,0.488,27.7,12,-4.3,25.5,2.94,1.1591,0.009,1339,3,100,60
6/12/2013,1:00 AM,29.4,30.1,29.2,13,-1.9,11.3,WSW,11.27,20.9,WSW,29.4,27.6,27.6,---,753.7,0,0,0,0,0,0,0,0,0,0.461,27.3,12,-4.6,25.2,2.98,1.1605,0.009,1338,3,100,60
6/12/2013,2:00 AM,28.9,29.4,28.9,15,-0.3,12.9,WSW,12.87,22.5,SW,28.8,27.2,27,---,753.5,0,0,0,0,0,0,0,0,0,0.442,27.2,12,-4.7,25.1,2.99,1.1607,0.009,1339,3,100,60
6/12/2013,3:00 AM,26.3,28.9,25,17,-0.7,3.2,WSW,3.22,14.5,SW,26.3,24.5,24.5,---,753.5,0,0,0,0,0,0,0,0,0,0.331,23.9,12,-7.3,22.2,2.95,1.1746,0.005,1339,3,100,60
6/12/2013,4:00 AM,26.4,26.9,24.8,17,-0.6,3.2,WSW,3.22,6.4,ESE,26.4,24.6,24.6,---,753.5,0,0,0,0,0,0,0,0,0,0.336,22.4,13,-7.4,19.9,3.2,1.1806,0.004,1340,3,100,60
6/12/2013,5:00 AM,23.3,26.8,23.3,19,-1.6,4.8,WNW,4.83,9.7,NE,23.3,21.6,21.6,---,753.7,0,0,0,0,0,0,0,0,0,0.208,21.4,13,-8.2,18.7,3.24,1.185,0.005,1340,3,100,60
6/12/2013,6:00 AM,24.2,24.8,23.2,19,-0.9,3.2,SSW,3.22,6.4,W,24.2,23,23,---,754.1,0,0,13,1.12,42,0,0,0,0,0.245,20.9,13,-8.6,18,3.24,1.1877,0.002,1339,3,100,60
6/12/2013,7:00 AM,27.2,27.2,24,15,-1.7,1.6,WNW,1.61,6.4,NNW,27.2,25.2,25.2,---,754,0,0,106,9.12,193,0.2,0.09,0.8,0,0.368,23.9,13,-6.2,22.2,3.15,1.1751,0.004,1340,3,100,60
6/12/2013,8:00 AM,29.6,29.6,26.6,13,-1.8,3.2,SE,3.22,8,E,29.6,27.7,27.7,---,753.9,0,0,272,23.4,404,1.4,0.6,2.3,0,0.468,27.9,13,-3,25.9,3.16,1.1579,0.009,1339,3,100,60
6/12/2013,9:00 AM,32.3,32.3,29.6,12,-0.8,3.2,ENE,3.22,11.3,ESE,32.3,29.9,29.9,---,753.8,0,0,500,43.01,592,3.6,1.54,4.9,0,0.581,33.3,12,0.1,30.9,2.69,1.136,0.016,1340,3,100,60
6/12/2013,10:00 AM,34.7,34.7,32.3,10,-1.4,4.8,ESE,4.83,12.9,SE,34.7,31.9,31.9,---,753.6,0,0,679,58.4,758,6.5,2.79,8.1,0,0.681,37.2,11,1.8,34.4,2.63,1.1206,0.022,1337,3,100,60
6/12/2013,11:00 AM,37.6,37.8,34.7,7,-4.1,14.5,S,14.48,41.8,S,37.6,34.1,34.1,---,753.4,0,0,819,70.44,877,9.5,4.07,10.9,0,0.803,39.7,11,3.7,36.9,2.51,1.1101,0.033,1339,3,100,60
6/12/2013,12:00 PM,38.5,38.9,37.4,7,-3.4,19.3,SSW,19.31,37,S,38.5,34.9,34.9,---,753.3,0,0,924,79.47,1262,11.6,4.97,14.4,0,0.84,40.8,11,4.5,37.9,2.46,1.1057,0.039,1339,3,100,60
6/12/2013,1:00 PM,38.8,39.2,37.6,9,0.3,16.1,SSW,16.09,32.2,SSW,38.8,35.6,35.6,---,752.7,0,0,1010,86.87,1127,12.8,5.49,14,0,0.854,41.8,11,5.4,39.1,2.5,1.1005,0.039,1339,3,100,60
6/12/2013,2:00 PM,39.4,39.8,38.6,7,-2.7,16.1,SSW,16.09,33.8,SSE,39.4,35.7,35.8,---,752.3,0,0,960,82.57,1085,12,5.14,13.7,0,0.88,41.2,11,4.9,38.4,2.47,1.1025,0.038,1339,3,100,60
6/12/2013,3:00 PM,38.2,40.1,38.2,9,-0.2,20.9,S,20.92,40.2,S,38.2,34.9,35.1,---,752,0,0,841,72.34,1079,9.8,4.2,11.7,0,0.826,40.1,11,4,37.2,2.49,1.1066,0.038,1338,3,100,60
6/12/2013,4:00 PM,38.5,38.8,37.2,8,-1.6,20.9,SSW,20.92,46.7,S,38.5,35.1,35.2,---,751.6,0,0,608,52.29,1065,6.4,2.74,9.7,0,0.84,39.2,11,3.3,36.3,2.55,1.1096,0.033,1339,3,100,60
6/12/2013,5:00 PM,37.4,38.5,36.9,9,-0.8,16.1,SSW,16.09,33.8,S,37.4,34.3,34.3,---,751.3,0,0,389,33.46,772,3.5,1.5,6,0,0.794,38,11,2.4,35.2,2.63,1.1138,0.024,1340,3,100,60
6/12/2013,6:00 PM,36.9,38,36.9,9,-1.2,17.7,SSW,17.7,40.2,SW,36.9,33.8,33.8,---,750.8,0,0,394,33.89,584,2.1,0.9,3.4,0,0.773,37.7,11,2.2,34.9,2.65,1.1142,0.024,1339,3,100,60
